Pathway,Description,Genes
INFLAMMATION_NFKB_TNF_IL1,Core pro-inflammatory cytokines and NF-kB pathway,"IL1A, IL1B, TNF, IL6, IL18, NFKB1, RELA, TLR4, MYD88"
JAK_STAT_IL6_IL10,JAK-STAT signaling via IL6/IL10 and related receptors,"IL6, IL10, IL2, IL7, STAT3, JAK2, IL4, IL13"
INTERFERON_ISG_IFNG,Interferon gamma/type I interferon response and ISGs,"IFNG, IFIT1, MX1, OAS1, IRF7"
CHOLINERGIC_ACH_CHRNA7,Cholinergic anti-inflammatory pathway and nicotinic receptors,"CHRNA7, CHRNA4, CHAT, SLC18A3, ACHE"
MICROGLIA_M1_M2,Microglial activation and M1/M2 polarization markers,"AIF1, CD68, TMEM119, CX3CR1, MRC1, ARG1, NOS2"
CHEMOKINES_CCL_CXCL,Chemokines and chemotaxis-related genes,"CXCL1, CCL2, CCL3, CXCL10"
COMPLEMENT_COAGULATION,Complement cascade and related innate effectors,"C3, C1QA, C1QB, C4A"
NEUROPLASTICITY_BDNF_TRKB,"Neurotrophin signaling, synaptic plasticity and receptors","BDNF, NTRK2, CAMK2A, CREB1, MAPK1, MAPK3"
IMMEDIATE_EARLY_GENES,Immediate-early / activity-regulated genes,"FOS, JUN, EGR1, ARC, NR4A1"
SYNAPTIC_TRANSMISSION,Synaptic receptors and scaffolding proteins (glutamatergic),"GRIN1, GRIA1, DLG4, SYN1, SLC17A7"
MITO_OXPHOS_ROS,Mitochondrial function and oxidative stress,"NDUFS1, COX4I1, SOD2, PPARGC1A"
ECM_APOPTOSIS_MYELINATION,"ECM remodeling, apoptosis regulators, and myelination","MMP9, TIMP1, BAX, BCL2, MBP, PLP1"
CELL_TYPE_MARKERS,Representative cell-type markers for deconvolution,"SNAP25, GFAP, MBP, AIF1, PECAM1"
